Agency,total_use_cases,top_topic,top_topic_count,rights_neither,rights_both,rights_rights_impacting,rights_safety_impacting,examples_top_topic
Federal Deposit Insurance Corporation,55,Mission-Enabling,29,54,0,1,0,Invoice and Contract Data Extraction; Server Failure Prediction; Plain Language Policy Assistant
Federal Energy Regulatory Commission,4,Mission-Enabling,2,4,0,0,0,Leverage AI in the Rulemaking Process Use Case ; Enhance Market Surveillance and Fraud Detection Use Case 
Federal Housing Finance Agency,18,Mission-Enabling,18,18,0,0,0,LexisNexis; Neural Networks for FHFA Modeling Analytics Platform (FMAP); Phishing Email Identification
Federal Trade Commission,6,Other,5,6,0,0,0,Automatic PSC Classification; Group Duplicate Complaints; Word Cloud
General Services Administration,24,Other,14,23,0,1,0,Solicitation Review Tool (SRT); Enterprise Brain; AWS Captcha Solver
National Aeronautics and Space Administration,18,Deep Learning,6,18,0,0,0,AEGIS: Autonomous Exploration for Gathering Increased Science; MLNav (Machine Learning Navigation); Perseverance Rover on Mars - Terrain Relative Navigation
National Archives and Records Administration,9,Mission-Enabling,9,9,0,0,0,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records; Freedom of Information Act (FOIA) Discovery AI Pilot; Auto-fill of Descriptive Metadata for Archival Descriptions 
National Credit Union Administration,16,Other,13,16,0,0,0,Native Editor; Insights; iPhone Facial Recognition Technology
National Science Foundation,16,Mission-Enabling,16,16,0,0,0,"ServiceNow GenAI ""Now Assist""; Budget Area Topic Classification Tool; AI voice over"
National Transportation Safety Board,2,Mission-Enabling,2,2,0,0,0,Voice to text transcription; Semantic Similarity Text Search
Office of Personnel Management,2,Mission-Enabling,2,0,0,2,0,USA Class; Copilot for Microsoft 365
Pension Benefit Guaranty Corporation,2,Other,1,2,0,0,0,Synthetic Data Generation
Postal Regulatory Commission,1,Law & Justice,1,1,0,0,0,Lexis +AI
Presidio Trust,5,Mission-Enabling,5,5,0,0,0,"Productivity and communications including the generation of insights, automation and workflow; Ability to find information through search results and other methods; Pattern identification, simulations, optimization and forecasting leading to alerts, notifications and reporting"
Securities and Exchange Commission,28,Other,20,28,0,0,0,Comment Letter Review and Analysis ; Forms Filed; 8-K Filing Solution
Social Security Administration,23,Government Services (includes Benefits and Service Delivery),20,14,0,8,1,Insight; Intelligent Medical Language Analysis Generation (IMAGEN); Duplicate Identification Process
Tennessee Valley Authority,39,Energy & the Environment,21,39,0,0,0,Extreme Load Analysis; Materials Intelligent Catalog Assistant; Vegetation Management
United States Agency for Global Media,8,Mission-Enabling,8,8,0,0,0,Microsoft Copilot for Internal Employees ; Automated Transcription Generation ; Content Enhancement for Articles 
United States Agency for International Development,137,Diplomacy & Trade,77,119,14,3,0,Gender differentiated credit scoring; Machine Learning for Peace; Morogoro youth empowerment through establishment of social innovation (YEESI) lab for problem-centered training in machine vision
United States Commission on Civil Rights,2,Mission-Enabling,1,2,0,0,0,Microsoft Copilot Integration
United States Trade and Development Agency,4,Mission-Enabling,4,4,0,0,0,Lookout for mobile security; Qualys Cloud Detection and Response; Crowdstrike Falcon Threat Detection and Response
